Country,Average Annual GDP Growth,Average Annual Inflation 
China,9.502564103,2.5
United States,2.643589744,10.4
India,6.351282051,12.7
Japan,1.979487179,4.9
Germany,1.748717949,6.3
Indonesia,5.523076923,12.2
Brazil,2.351282051,101.7
UK,2.146153846,12.2
France,2,13.3
Mexico,2.592307692,27.9
Italy,1.171794872,19.5
Turkey,4.615384615,36.4
South Korea,6.051282051,21.4
Spain,2.330769231,14.5
Canada,2.417948718,12.5
Australia,3.148717949,9.5
Thailand,5.215384615,12.7
Taiwan,5.215384615,16.3
Poland,2.512820513,21.2
Pakistan,4.951282051,11.9
Malaysia,5.835897436,9.7
Netherlands,2.171052632,6.8
Philippines,3.830769231,13.1
South Africa,2.287179487,15.3
Colombia,3.512820513,27.4
Vietnam,6.371794872,69.6
Singapore,6.392307692,8.2
Belgium,1.864102564,7.6
Switzerland,1.866666667,6.5
Sweden,2.376923077,12.1
Hong Kong,4.728205128,9.5
Chile,4.387179487,19.7
